name	year	inf
http://dbpedia.org/resource/Necip_Faz%C4%B1l_K%C4%B1sak%C3%BCrek	1904	0
http://dbpedia.org/resource/Necip_Faz?l_K?sakürek	1904	0
http://dbpedia.org/resource/Amin_Ahsan_Islahi	1904	1
http://dbpedia.org/resource/Georges_Canguilhem	1904	4
http://dbpedia.org/resource/Karl_Rahner	1904	0
http://dbpedia.org/resource/Jean-Paul_Sartre	1905	6
http://dbpedia.org/resource/Carl_Gustav_Hempel	1905	1
http://dbpedia.org/resource/Raymond_Aron	1905	2
http://dbpedia.org/resource/Hannah_Arendt	1906	3
http://dbpedia.org/resource/Emmanuel_Levinas	1906	3
http://dbpedia.org/resource/Nelson_Goodman	1906	6
http://dbpedia.org/resource/Maurice_Blanchot	1907	0
http://dbpedia.org/resource/M%C3%A1rio_Ferreira_dos_Santos	1907	0
http://dbpedia.org/resource/H._L._A._Hart	1907	3
http://dbpedia.org/resource/Jan_Pato%C4%8Dka	1907	0
http://dbpedia.org/resource/Claude_Lévi-Strauss	1908	1
http://dbpedia.org/resource/Claude_L%C3%A9vi-Strauss	1908	1
http://dbpedia.org/resource/Simone_de_Beauvoir	1908	1
http://dbpedia.org/resource/Maurice_Merleau-Ponty	1908	0
http://dbpedia.org/resource/Willard_Van_Orman_Quine	1908	4
http://dbpedia.org/resource/Mili%C4%8D_%C4%8Capek	1909	2
http://dbpedia.org/resource/Simone_Weil	1909	3
http://dbpedia.org/resource/Norberto_Bobbio	1909	2
http://dbpedia.org/resource/Isaiah_Berlin	1909	1
http://dbpedia.org/resource/A._J._Ayer	1910	1
http://dbpedia.org/resource/Emil_Cioran	1911	1
http://dbpedia.org/resource/J._L._Austin	1911	2
http://dbpedia.org/resource/Marshall_McLuhan	1911	1
http://dbpedia.org/resource/Wilfrid_Sellars	1912	8
http://dbpedia.org/resource/Arne_Næss	1912	0
http://dbpedia.org/resource/Arne_N%C3%A6ss	1912	0
http://dbpedia.org/resource/Jacques_Ellul	1912	4
http://dbpedia.org/resource/Paul_Ricœur	1913	2
http://dbpedia.org/resource/Paul_Ric%C5%93ur	1913	2
http://dbpedia.org/resource/Norman_O._Brown	1913	0
http://dbpedia.org/resource/Albert_Camus	1913	1
http://dbpedia.org/resource/Paul_Grice	1913	1
http://dbpedia.org/resource/John_Passmore	1914	0
http://dbpedia.org/resource/Roland_Barthes	1915	1
http://dbpedia.org/resource/Roderick_Chisholm	1916	0
http://dbpedia.org/resource/Emil_Fackenheim	1916	0
http://dbpedia.org/resource/Georg_Henrik_von_Wright	1916	2
http://dbpedia.org/resource/Peter_Geach	1916	2
http://dbpedia.org/resource/Sebastian_Shaumyan	1916	0
http://dbpedia.org/resource/J._L._Mackie	1917	1
http://dbpedia.org/resource/Abdel_Rahman_Badawi	1917	0
http://dbpedia.org/resource/Donald_Davidson_(philosopher)	1917	2
http://dbpedia.org/resource/Louis_Althusser	1918	1
http://dbpedia.org/resource/P._F._Strawson	1919	5
http://dbpedia.org/resource/William_A._Earle	1919	0
http://dbpedia.org/resource/Paul_de_Man	1919	0
http://dbpedia.org/resource/Mario_Bunge	1919	0
http://dbpedia.org/resource/Morris_Janowitz	1919	0
http://dbpedia.org/resource/R._M._Hare	1919	2
http://dbpedia.org/resource/Jules_Vuillemin	1920	0
http://dbpedia.org/resource/Philippa_Foot	1920	4
http://dbpedia.org/resource/J._J._C._Smart	1920	0
http://dbpedia.org/resource/Murray_Bookchin	1921	0
http://dbpedia.org/resource/Walter_Kaufmann_(philosopher)	1921	3
http://dbpedia.org/resource/Raymond_Williams	1921	2
http://dbpedia.org/resource/William_Alston	1921	0
http://dbpedia.org/resource/John_Rawls	1921	1
http://dbpedia.org/resource/Sheldon_Wolin	1922	2
http://dbpedia.org/resource/Karl-Otto_Apel	1922	2
http://dbpedia.org/resource/Thomas_Kuhn	1922	0
http://dbpedia.org/resource/Cornelius_Castoriadis	1922	6
http://dbpedia.org/resource/Michel_Henry	1922	0
http://dbpedia.org/resource/Patrick_Suppes	1922	0
http://dbpedia.org/resource/Stephen_Toulmin	1922	0
http://dbpedia.org/resource/Imre_Lakatos	1922	1
http://dbpedia.org/resource/Pierre_Hadot	1922	1
http://dbpedia.org/resource/Jacob_Taubes	1923	3
http://dbpedia.org/resource/André_Gorz	1923	0
http://dbpedia.org/resource/Israel_Scheffler	1923	0
http://dbpedia.org/resource/Anna-Teresa_Tymieniecka	1923	0
http://dbpedia.org/resource/Andr%C3%A9_Gorz	1923	0
http://dbpedia.org/resource/Richard_Popkin	1923	1
http://dbpedia.org/resource/Antony_Flew	1923	0
http://dbpedia.org/resource/Héctor-Neri_Castañeda	1924	0
http://dbpedia.org/resource/Kenneth_Waltz	1924	3
http://dbpedia.org/resource/H%C3%A9ctor-Neri_Casta%C3%B1eda	1924	0
http://dbpedia.org/resource/Gilbert_Simondon	1924	2
http://dbpedia.org/resource/Jean-François_Lyotard	1924	1
http://dbpedia.org/resource/Paul_Feyerabend	1924	1
http://dbpedia.org/resource/Kostas_Axelos	1924	2
http://dbpedia.org/resource/Jean-Fran%C3%A7ois_Lyotard	1924	1
http://dbpedia.org/resource/Ullin_Place	1924	0
http://dbpedia.org/resource/Gilles_Deleuze	1925	12
http://dbpedia.org/resource/Zygmunt_Bauman	1925	0
http://dbpedia.org/resource/Paul_Kurtz	1925	0
http://dbpedia.org/resource/John_B._Cobb	1925	1
http://dbpedia.org/resource/Michael_Dummett	1925	0
http://dbpedia.org/resource/Ernest_Gellner	1925	2
http://dbpedia.org/resource/Herbert_McCabe	1926	1
http://dbpedia.org/resource/David_Malet_Armstrong	1926	0
http://dbpedia.org/resource/Michel_Foucault	1926	1
http://dbpedia.org/resource/Hilary_Putnam	1926	6
http://dbpedia.org/resource/Ivan_Illich	1926	4
