name	wiki	year	inf
Claude Adrien Helvétius	https://en.wikipedia.org/wiki/Claude_Adrien_Helvétius	1715	0
Claude Adrien Helv%C3%A9tius	https://en.wikipedia.org/wiki/Claude_Adrien_Helv%C3%A9tius	1715	0
William Cleghorn	https://en.wikipedia.org/wiki/William_Cleghorn	1719	1
Adam Ferguson	https://en.wikipedia.org/wiki/Adam_Ferguson	1723	0
Adam Smith	https://en.wikipedia.org/wiki/Adam_Smith	1723	0
Baron d'Holbach	https://en.wikipedia.org/wiki/Baron_d'Holbach	1723	3
Immanuel Kant	https://en.wikipedia.org/wiki/Immanuel_Kant	1724	1
Moses Mendelssohn	https://en.wikipedia.org/wiki/Moses_Mendelssohn	1729	0
Edmund Burke	https://en.wikipedia.org/wiki/Edmund_Burke	1729	2
Johann Georg Hamann	https://en.wikipedia.org/wiki/Johann_Georg_Hamann	1730	5
Hong Dae-yong	https://en.wikipedia.org/wiki/Hong_Dae-yong	1731	1
Johannes Nikolaus Tetens	https://en.wikipedia.org/wiki/Johannes_Nikolaus_Tetens	1736	1
Park Ji-won	https://en.wikipedia.org/wiki/Park_Ji-won	1737	0
Thomas Paine	https://en.wikipedia.org/wiki/Thomas_Paine	1737	2
Marquis de Sade	https://en.wikipedia.org/wiki/Marquis_de_Sade	1740	4
Friedrich Heinrich Jacobi	https://en.wikipedia.org/wiki/Friedrich_Heinrich_Jacobi	1743	8
Johann Gottfried Herder	https://en.wikipedia.org/wiki/Johann_Gottfried_Herder	1744	0
Shah Abdul Aziz	https://en.wikipedia.org/wiki/Shah_Abdul_Aziz	1745	0
Adam Weishaupt	https://en.wikipedia.org/wiki/Adam_Weishaupt	1748	1
Jeremy Bentham	https://en.wikipedia.org/wiki/Jeremy_Bentham	1748	1
Christian Jakob Kraus	https://en.wikipedia.org/wiki/Christian_Jakob_Kraus	1753	1
Joseph de Maistre	https://en.wikipedia.org/wiki/Joseph_de_Maistre	1753	0
Salomon Maimon	https://en.wikipedia.org/wiki/Salomon_Maimon	1753	1
Louis Gabriel Ambroise de Bonald	https://en.wikipedia.org/wiki/Louis_Gabriel_Ambroise_de_Bonald	1754	1
Karl Leonhard Reinhold	https://en.wikipedia.org/wiki/Karl_Leonhard_Reinhold	1757	2
Claude Henri de Rouvroy, comte de Saint-Simon	https://en.wikipedia.org/wiki/Claude_Henri_de_Rouvroy,_comte_de_Saint-Simon	1760	3
Johann Gottlieb Fichte	https://en.wikipedia.org/wiki/Johann_Gottlieb_Fichte	1762	3
Maine de Biran	https://en.wikipedia.org/wiki/Maine_de_Biran	1766	8
Wilhelm von Humboldt	https://en.wikipedia.org/wiki/Wilhelm_von_Humboldt	1767	4
Friedrich Schleiermacher	https://en.wikipedia.org/wiki/Friedrich_Schleiermacher	1768	4
Georg Wilhelm Friedrich Hegel	https://en.wikipedia.org/wiki/Georg_Wilhelm_Friedrich_Hegel	1770	4
Charles Fourier	https://en.wikipedia.org/wiki/Charles_Fourier	1772	7
James Mill	https://en.wikipedia.org/wiki/James_Mill	1773	1
Friedrich Wilhelm Joseph Schelling	https://en.wikipedia.org/wiki/Friedrich_Wilhelm_Joseph_Schelling	1775	7
Johann Friedrich Herbart	https://en.wikipedia.org/wiki/Johann_Friedrich_Herbart	1776	5
Bernard Bolzano	https://en.wikipedia.org/wiki/Bernard_Bolzano	1781	4
Arthur Schopenhauer	https://en.wikipedia.org/wiki/Arthur_Schopenhauer	1788	0
Sir William Hamilton, 9th Baronet	https://en.wikipedia.org/wiki/Sir_William_Hamilton,_9th_Baronet	1788	2
John Austin (legal philosopher)	https://en.wikipedia.org/wiki/John_Austin_(legal_philosopher)	1790	2
Franz Bopp	https://en.wikipedia.org/wiki/Franz_Bopp	1791	3
Immanuel Hermann Fichte	https://en.wikipedia.org/wiki/Immanuel_Hermann_Fichte	1796	0
Auguste Comte	https://en.wikipedia.org/wiki/Auguste_Comte	1798	5
Josiah Warren	https://en.wikipedia.org/wiki/Josiah_Warren	1798	1
Giacomo Leopardi	https://en.wikipedia.org/wiki/Giacomo_Leopardi	1798	4
Friedrich Adolf Trendelenburg	https://en.wikipedia.org/wiki/Friedrich_Adolf_Trendelenburg	1802	6
Ralph Waldo Emerson	https://en.wikipedia.org/wiki/Ralph_Waldo_Emerson	1803	4
Ludwig Feuerbach	https://en.wikipedia.org/wiki/Ludwig_Feuerbach	1804	6
Alexis de Tocqueville	https://en.wikipedia.org/wiki/Alexis_de_Tocqueville	1805	2
Johann Eduard Erdmann	https://en.wikipedia.org/wiki/Johann_Eduard_Erdmann	1805	4
Giuseppe Mazzini	https://en.wikipedia.org/wiki/Giuseppe_Mazzini	1805	1
Max Stirner	https://en.wikipedia.org/wiki/Max_Stirner	1806	11
John Stuart Mill	https://en.wikipedia.org/wiki/John_Stuart_Mill	1806	14
Johann Gustav Droysen	https://en.wikipedia.org/wiki/Johann_Gustav_Droysen	1808	1
Victor Prosper Considerant	https://en.wikipedia.org/wiki/Victor_Prosper_Considerant	1808	1
Bruno Bauer	https://en.wikipedia.org/wiki/Bruno_Bauer	1809	5
Louis Blanc	https://en.wikipedia.org/wiki/Louis_Blanc	1811	2
Alexander Herzen	https://en.wikipedia.org/wiki/Alexander_Herzen	1812	2
Nikolai Stankevich	https://en.wikipedia.org/wiki/Nikolai_Stankevich	1813	2
Félix Ravaisson-Mollien	https://en.wikipedia.org/wiki/Félix_Ravaisson-Mollien	1813	8
Søren Kierkegaard	https://en.wikipedia.org/wiki/Søren_Kierkegaard	1813	0
S%C3%B8ren Kierkegaard	https://en.wikipedia.org/wiki/S%C3%B8ren_Kierkegaard	1813	1
F%C3%A9lix Ravaisson-Mollien	https://en.wikipedia.org/wiki/F%C3%A9lix_Ravaisson-Mollien	1813	8
Mikhail Bakunin	https://en.wikipedia.org/wiki/Mikhail_Bakunin	1814	2
Jules Lequier	https://en.wikipedia.org/wiki/Jules_Lequier	1814	2
Charles Bernard Renouvier	https://en.wikipedia.org/wiki/Charles_Bernard_Renouvier	1815	1
Hermann Lotze	https://en.wikipedia.org/wiki/Hermann_Lotze	1817	7
Henry David Thoreau	https://en.wikipedia.org/wiki/Henry_David_Thoreau	1817	2
Karl Marx	https://en.wikipedia.org/wiki/Karl_Marx	1818	0
Herbert Spencer	https://en.wikipedia.org/wiki/Herbert_Spencer	1820	2
Friedrich Engels	https://en.wikipedia.org/wiki/Friedrich_Engels	1820	0
August Schleicher	https://en.wikipedia.org/wiki/August_Schleicher	1821	1
Kuno Fischer	https://en.wikipedia.org/wiki/Kuno_Fischer	1824	1
Joseph Dietzgen	https://en.wikipedia.org/wiki/Joseph_Dietzgen	1828	1
Friedrich Albert Lange	https://en.wikipedia.org/wiki/Friedrich_Albert_Lange	1828	1
Christoph von Sigwart	https://en.wikipedia.org/wiki/Christoph_von_Sigwart	1830	3
Michel Br%C3%A9al	https://en.wikipedia.org/wiki/Michel_Br%C3%A9al	1832	1
Michel Bréal	https://en.wikipedia.org/wiki/Michel_Bréal	1832	1
Wilhelm Dilthey	https://en.wikipedia.org/wiki/Wilhelm_Dilthey	1833	7
Thomas Hill Green	https://en.wikipedia.org/wiki/Thomas_Hill_Green	1836	2
African Spir	https://en.wikipedia.org/wiki/African_Spir	1837	4
Franz Brentano	https://en.wikipedia.org/wiki/Franz_Brentano	1838	5
Henry Sidgwick	https://en.wikipedia.org/wiki/Henry_Sidgwick	1838	4
August Leskien	https://en.wikipedia.org/wiki/August_Leskien	1840	0
George Sylvester Morris	https://en.wikipedia.org/wiki/George_Sylvester_Morris	1840	1
Peter Kropotkin	https://en.wikipedia.org/wiki/Peter_Kropotkin	1842	0
William James	https://en.wikipedia.org/wiki/William_James	1842	10
