name	wiki	year	inf
Michel Onfray	https://en.wikipedia.org/wiki/Michel_Onfray	1959	0
Simon Critchley	https://en.wikipedia.org/wiki/Simon_Critchley	1960	0
Vittorio H%C3%B6sle	https://en.wikipedia.org/wiki/Vittorio_H%C3%B6sle	1960	0
Vittorio Hösle	https://en.wikipedia.org/wiki/Vittorio_Hösle	1960	0
Michael Hardt	https://en.wikipedia.org/wiki/Michael_Hardt	1960	0
Sandra Laugier	https://en.wikipedia.org/wiki/Sandra_Laugier	1961	0
Nick Land	https://en.wikipedia.org/wiki/Nick_Land	1962	1
Stephen Mulhall	https://en.wikipedia.org/wiki/Stephen_Mulhall	1962	0
Aleksandr Dugin	https://en.wikipedia.org/wiki/Aleksandr_Dugin	1962	0
Will Kymlicka	https://en.wikipedia.org/wiki/Will_Kymlicka	1962	0
Tariq Ramadan	https://en.wikipedia.org/wiki/Tariq_Ramadan	1962	0
Paul Copan	https://en.wikipedia.org/wiki/Paul_Copan	1962	0
Mark Bevir	https://en.wikipedia.org/wiki/Mark_Bevir	1963	1
Bijan Abdolkarimi	https://en.wikipedia.org/wiki/Bijan_Abdolkarimi	1963	0
Richard David Precht	https://en.wikipedia.org/wiki/Richard_David_Precht	1964	0
John Gardner (legal philosopher)	https://en.wikipedia.org/wiki/John_Gardner_(legal_philosopher)	1964	0
Luciano Floridi	https://en.wikipedia.org/wiki/Luciano_Floridi	1964	0
Bryan Reynolds	https://en.wikipedia.org/wiki/Bryan_Reynolds	1965	0
Ray Brassier	https://en.wikipedia.org/wiki/Ray_Brassier	1965	0
Mario Kopi%C4%87	https://en.wikipedia.org/wiki/Mario_Kopi%C4%87	1965	0
Nader El-Bizri	https://en.wikipedia.org/wiki/Nader_El-Bizri	1966	0
David Chalmers	https://en.wikipedia.org/wiki/David_Chalmers	1966	1
Alice Crary	https://en.wikipedia.org/wiki/Alice_Crary	1967	0
Quentin Meillassoux	https://en.wikipedia.org/wiki/Quentin_Meillassoux	1967	1
Dan Zahavi	https://en.wikipedia.org/wiki/Dan_Zahavi	1967	0
Graham Harman	https://en.wikipedia.org/wiki/Graham_Harman	1968	1
Timothy Morton	https://en.wikipedia.org/wiki/Timothy_Morton	1968	0
Michael Huemer	https://en.wikipedia.org/wiki/Michael_Huemer	1969	0
Gualtiero Piccinini	https://en.wikipedia.org/wiki/Gualtiero_Piccinini	1970	0
Austin Dacey	https://en.wikipedia.org/wiki/Austin_Dacey	1972	0
Chris Bateman	https://en.wikipedia.org/wiki/Chris_Bateman	1972	0
Alexander Pruss	https://en.wikipedia.org/wiki/Alexander_Pruss	1973	0
Peter Rollins	https://en.wikipedia.org/wiki/Peter_Rollins	1973	0
Constantine Sandis	https://en.wikipedia.org/wiki/Constantine_Sandis	1976	0
